year,countryCount,std,p1,p10,p25,mean,p75,p90,p99,AFG,Africa,ALB,DZA,ASM,Americas,AND,AGO,AIA,ATG,ARG,ARM,ABW,Asia,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BES,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,OWID_CIS,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CUW,CYP,CZE,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,Europe,FRO,FLK,FJI,FIN,FRA,GUF,PYF,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRL,GRD,GLP,GUM,GTM,GIN,GNB,GUY,HTI,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,IMN,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,Latin America and the Caribbean,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MTQ,MRT,MUS,MYT,MEX,FSM,MDA,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,NCL,NZL,NIC,NER,NGA,NIU,PRK,Northern America,MNP,NOR,Oceania,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,PRI,QAT,REU,ROU,RUS,RWA,Saint Barthlemy,SHN,KNA,LCA,MAF,SPM,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SXM,SVK,SVN,SLB,SOM,ZAF,KOR,SSD,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TWN,TJK,TZA,THA,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,USA,VIR,URY,UZB,VUT,VAT,VEN,VNM,WLF,ESH,OWID_WRL,YEM,ZMB,ZWE
1964,243,11.361450999089408,30.715139763401996,42.57649460645134,49.4842568138977,57.14187478728396,64.79949276067022,71.70725496811659,83.56860981116593,34.463,43.091,65.463,47.958,65.876,63.45157331,70.741,38.76,62.783,63.992,65.426,67.716,67.113,48.306,70.834,69.852,61.889,65.219,57.182,47.649,66.86,69.678,70.427,62.241,39.13,70.045,36.22,43.199,67.188,62.818,51.099,56.121,64.477,58.638,70.664,36.331,42.54,41.893,43.639,71.599,49.797,62.712,38.201,39.059,71.143,58.927,47.592,59.308,43.043,48.016,57.222,62.807,39.358,66.29,66.327,67.023,70.895,70.297,41.995,72.546,45.727,61.818,54.34,55.158,50.101,52.391,37.874,40.768,69.853,40.81,69.565,71.846,70.945,61.967,69.246,70.984,61.148,57.845,41.849,33.543,65.291,70.222,47.469,71.473,69.508,60.959,63.817,61.512,62.968,48.856,35.588,38.671,60.984,43.414,48.926,69.495,69.116,73.535,43.873,49.051,47.172,52.73,70.359,71.139,71.223,70.067,66.1,69.898,55.765,60.195,49.261,49.145,62.265,58.056,44.424,57.452,70.418,64.435,48.797,35.796,48.914,70.884,70.541,69.384,66.629,63.06,41.876,37.655,61.943,39.878,29.097,70.111,55.935,62.724,47.214,62.027,58.247,59.069,56.279,63.496,70.958,51.771,66.438,63.724,50.168,40.698,44.907,49.325,49.819,37.346,73.521,58.986,71.205,49.566,35.368,38.691,63.83,53.335,70.255,60.158,73.584,63.754,45.896,48.67,58.711,51.698,62.824,41.495,64.659,50.334,62.411,68.905,65.027,69.635,64.123,58.901,67.723,68.295,43.803,61.482,65.215,60.132,60.035,61.585,67.679,61.488,58.045,71.39,52.417,47.781,38.449,65.05,64.303,33.134,66.706,67.207,70.687,69.201,51.357,38.578,49.888,57.235,33.402,70.416,61.078,49.852,61.026,45.083,73.691,71.875,54.435,65.589,51.851,44.682,56.692,35.734,42.846,65.367,61.527,63.663,44.932,48.312,56.186,62.748,51.001,46.755,70.185,55.555,71.253,70.144,67.279,68.455,60.348,51.131,56.535,61.923,61.581,58.738,39.88,52.451,31.501,48.068,54.849
1965,243,11.26103972814335,31.359427581145148,43.115953057326806,49.96266521203796,57.55260598880658,65.1425467655752,71.98925892028636,83.74578439646803,34.948,43.513,65.85,48.394,65.671,63.66625528,71.018,39.102,63.351,64.401,65.518,68.153,67.435,49.456,70.824,69.973,62.104,65.31,58.388,48.05,67.275,69.941,70.507,62.823,39.615,70.222,36.745,43.568,67.502,63.381,51.547,56.61,64.871,59.434,70.849,36.815,42.838,42.083,44.095,71.762,50.345,63.129,38.754,39.344,71.265,59.415,49.549,59.784,43.446,48.517,57.621,63.348,40.115,66.648,66.956,67.352,71.197,70.224,42.257,72.639,46.166,62.377,54.993,55.669,50.545,52.893,38.205,41.221,70.052,41.267,69.749,72.094,71.055,62.157,69.367,71.131,62.105,58.242,42.651,34.097,65.694,70.364,47.823,71.591,69.717,61.381,64.161,62.139,63.443,49.434,35.74,39.004,61.157,43.837,49.548,69.929,69.268,73.552,44.5,49.629,47.729,53.839,70.479,71.239,71.382,70.31,66.42,70.351,56.526,60.63,49.821,49.697,62.934,58.505,44.728,57.891,70.522,64.709,49.015,36.324,50.303,70.991,70.834,69.535,67.055,63.642,42.351,37.899,62.39,40.56,29.489,70.287,56.091,63.284,47.868,62.458,58.98,59.447,56.717,63.856,71.246,52.461,67.022,64.119,50.593,40.822,45.63,49.958,50.13,37.903,73.555,59.596,71.226,50.216,35.435,39.072,63.99,54.264,70.31,60.648,73.654,63.985,46.665,49.42,58.878,52.356,63.275,42.201,64.793,50.872,62.618,69.206,65.414,69.917,64.866,59.636,67.768,68.441,44.034,62.092,65.626,60.637,60.781,62.191,68.101,61.924,58.34,71.676,52.891,48.408,38.407,65.555,64.584,33.59,66.883,67.519,70.652,69.222,52.157,38.982,50.284,57.772,33.828,70.714,61.579,50.257,61.346,45.489,73.81,72.063,55.096,65.946,52.166,44.991,57.133,36.273,43.473,65.76,61.957,63.908,45.821,49.035,56.609,63.301,51.476,47.32,70.397,56.523,71.372,70.188,67.557,68.521,60.723,51.694,56.952,62.416,61.963,59.305,40.256,53.248,32.175,48.351,55.274
1966,243,11.154972737608837,32.010694836930895,43.65648637499453,50.438709799460696,57.957161424609055,65.47561304975741,72.25783647422358,83.90362801228721,35.43,43.927,66.11,48.811,65.544,63.88622618,71.268,39.454,63.915,64.762,65.64,68.588,67.762,50.664,70.825,70.06,62.322,65.402,59.524,48.236,67.628,70.155,70.59,63.402,40.109,70.395,37.303,43.947,67.811,63.94,51.991,57.091,65.282,60.147,70.949,37.291,43.105,42.298,44.555,71.918,50.934,63.523,39.355,39.665,71.391,59.931,51.696,60.257,43.858,48.993,58.035,63.862,40.873,66.999,67.573,67.678,71.491,70.142,42.549,72.747,46.654,62.934,55.635,56.174,50.945,53.36,38.536,41.63,70.209,41.668,69.903,72.358,71.178,62.302,69.5,71.271,63.006,58.654,43.528,34.735,66.084,70.488,48.155,71.713,69.916,61.694,64.484,62.749,63.907,50.032,35.89,39.343,61.317,44.267,50.151,70.33,69.372,73.571,45.136,50.208,48.298,54.885,70.592,71.35,71.538,70.558,66.74,70.786,57.279,61.054,50.364,50.25,63.566,58.943,45.033,58.326,70.568,64.982,49.254,36.895,51.581,71.081,71.067,69.65,67.486,64.216,42.828,38.174,62.833,41.252,29.959,70.483,56.254,63.838,48.476,62.744,59.696,59.807,57.153,64.186,71.507,53.098,67.593,64.532,51.009,40.904,46.357,50.554,50.456,38.487,73.587,60.19,71.247,50.874,35.501,39.442,64.152,55.356,70.378,61.138,73.74,64.226,47.413,50.134,59.05,53.031,63.718,42.931,64.908,51.432,62.784,69.474,65.796,70.237,65.588,60.356,67.727,68.527,44.225,62.688,66.055,61.122,61.471,62.779,68.543,62.318,58.642,71.924,53.361,49.107,38.386,66.041,64.892,34.072,67.056,67.826,70.567,69.229,52.962,39.384,50.705,58.39,34.248,70.991,62.104,50.663,61.666,45.929,73.935,72.26,55.788,66.338,52.496,45.321,57.565,36.895,44.098,66.175,62.387,64.112,46.78,49.733,57.021,63.83,51.952,47.839,70.562,57.482,71.497,70.247,67.851,68.554,61.089,52.259,57.354,62.91,62.037,59.874,40.619,54.075,32.96,48.643,55.671
1967,243,11.046510097330406,32.66094883570824,44.19350537732119,50.909783516498074,58.35513132209877,65.80047912769946,72.51675726687635,84.0493138084893,35.914,44.335,66.304,49.21,65.557,64.11691127,71.5,39.814,64.477,65.081,65.796,69.016,68.095,51.851,70.848,70.133,62.539,65.499,60.596,48.176,67.928,70.318,70.679,63.971,40.61,70.578,37.882,44.337,68.117,64.499,52.435,57.563,65.699,60.803,70.996,37.754,43.332,42.486,45.025,72.07,51.532,63.896,40.005,40.028,71.512,60.474,53.847,60.729,44.283,49.448,58.447,64.358,41.647,67.345,68.171,68.003,71.776,70.062,42.868,72.867,47.203,63.488,56.267,56.676,51.292,53.803,38.866,42.015,70.322,42.026,70.035,72.628,71.308,62.401,69.649,71.411,63.804,59.061,44.442,35.445,66.455,70.594,48.469,71.831,70.13,61.94,64.789,63.339,64.361,50.646,36.048,39.679,61.462,44.7,50.742,70.705,69.435,73.593,45.779,50.789,48.888,55.85,70.697,71.469,71.693,70.809,67.051,71.2,58.022,61.461,50.902,50.796,64.158,59.365,45.34,58.761,70.565,65.255,49.523,37.491,52.778,71.156,71.237,69.74,67.928,64.775,43.31,38.494,63.277,41.954,30.496,70.692,56.423,64.386,49.032,62.924,60.392,60.165,57.585,64.476,71.748,53.702,68.169,64.953,51.413,40.975,47.055,51.116,50.788,39.087,73.623,60.77,71.276,51.538,35.573,39.809,64.312,56.506,70.466,61.626,73.835,64.482,48.141,50.812,59.227,53.717,64.16,43.676,65.015,52.038,62.915,69.701,66.177,70.576,66.282,61.058,67.693,68.564,44.38,63.27,66.492,61.586,62.099,63.35,68.994,62.682,58.951,72.141,53.838,49.888,38.424,66.506,65.226,34.572,67.248,68.13,70.454,69.239,53.771,39.783,51.148,59.071,34.656,71.252,62.631,51.069,61.984,46.409,74.064,72.462,56.51,66.763,52.845,45.668,57.998,37.597,44.72,66.601,62.811,64.282,47.804,50.406,57.417,64.335,52.428,48.297,70.68,58.432,71.62,70.328,68.152,68.567,61.442,52.819,57.745,63.409,61.767,60.445,40.969,54.884,33.836,48.96,56.034
1968,243,10.938958777380586,33.3028302481749,44.72310321176023,51.37399014840763,58.746848364362144,66.11970658031666,72.77059351696406,84.19086648054939,36.403,44.742,66.487,49.597,65.742,64.36515254,71.722,40.179,65.038,65.363,65.989,69.427,68.436,52.95,70.906,70.208,62.75,65.607,61.609,47.888,68.187,70.433,70.782,64.525,41.117,70.782,38.469,44.737,68.424,65.059,52.885,58.025,66.115,61.422,71.016,38.207,43.523,42.55,45.509,72.222,52.119,64.255,40.703,40.435,71.623,61.044,55.843,61.201,44.724,49.887,58.841,64.847,42.449,67.686,68.744,68.326,72.052,69.996,43.208,72.996,47.814,64.042,56.889,57.181,51.592,54.226,39.195,42.394,70.393,42.355,70.153,72.899,71.44,62.456,69.819,71.561,64.466,59.452,45.357,36.211,66.805,70.689,48.768,71.94,70.377,62.155,65.077,63.906,64.805,51.267,36.222,40.01,61.588,45.134,51.33,71.062,69.464,73.625,46.428,51.374,49.503,56.723,70.793,71.59,71.846,71.062,67.349,71.596,58.752,61.848,51.446,51.327,64.713,59.767,45.65,59.201,70.522,65.528,49.829,38.099,53.921,71.223,71.342,69.817,68.388,65.313,43.796,38.866,63.719,42.669,31.086,70.909,56.598,64.926,49.536,63.041,61.068,60.536,58.012,64.718,71.978,54.285,68.756,65.374,51.808,41.061,47.698,51.65,51.12,39.691,73.667,61.335,71.32,52.205,35.658,40.184,64.471,57.625,70.582,62.114,73.933,64.756,48.858,51.457,59.41,54.406,64.607,44.425,65.124,52.702,63.017,69.888,66.559,70.917,66.942,61.743,67.737,68.565,44.505,63.839,66.927,62.03,62.67,63.905,69.444,63.026,59.266,72.343,54.328,50.751,38.558,66.946,65.581,35.08,67.479,68.436,70.336,69.267,54.584,40.179,51.615,59.788,35.051,71.501,63.144,51.469,62.299,46.935,74.195,72.668,57.26,67.211,53.214,46.028,58.442,38.336,45.339,67.028,63.224,64.43,48.882,51.053,57.794,64.817,52.903,48.687,70.752,59.375,71.735,70.44,68.454,68.575,61.779,53.372,58.13,63.916,61.186,61.017,41.316,55.636,34.78,49.313,56.362
1969,243,10.835445949270246,33.92999839825254,45.24220396929068,51.83015510644699,59.133245676255136,66.43633624606328,73.02428738321959,84.33649295425772,36.9,45.15,66.689,49.982,66.1,64.63369933,71.941,40.546,65.601,65.616,66.219,69.809,68.784,53.93,71.007,70.297,62.953,65.73,62.56,47.432,68.421,70.507,70.903,65.058,41.63,71.014,39.057,45.147,68.739,65.621,53.346,58.475,66.527,62.013,71.027,38.652,43.685,42.369,46.008,72.378,52.698,64.609,41.444,40.878,71.726,61.637,57.603,61.675,45.179,50.313,59.216,65.339,43.276,68.02,69.29,68.655,72.318,69.952,43.563,73.131,48.476,64.595,57.498,57.69,51.865,54.628,39.525,42.773,70.427,42.659,70.264,73.168,71.575,62.481,70.015,71.723,64.98,59.827,46.255,37.023,67.136,70.778,49.057,72.041,70.66,62.354,65.352,64.45,65.239,51.889,36.421,40.333,61.697,45.573,51.921,71.405,69.47,73.68,47.081,51.963,50.148,57.5,70.885,71.714,72.0,71.316,67.636,71.98,59.468,62.209,51.998,51.837,65.231,60.147,45.962,59.646,70.448,65.8,50.18,38.714,55.011,71.291,71.392,69.891,68.865,65.824,44.283,39.289,64.161,43.397,31.72,71.131,56.779,65.46,49.99,63.129,61.725,60.932,58.434,64.908,72.207,54.845,69.348,65.792,52.195,41.178,48.279,52.163,51.45,40.291,73.726,61.886,71.383,52.868,35.76,40.569,64.63,58.681,70.731,62.601,74.034,65.053,49.574,52.07,59.598,55.093,65.063,45.173,65.241,53.42,63.097,70.037,66.945,71.254,67.567,62.41,67.881,68.542,44.609,64.395,67.358,62.453,63.188,64.444,69.892,63.36,59.589,72.548,54.833,51.692,38.816,67.358,65.953,35.59,67.758,68.751,70.229,69.326,55.396,40.57,52.106,60.533,35.432,71.746,63.634,51.86,62.609,47.508,74.328,72.881,58.03,67.679,53.602,46.399,58.904,39.042,45.955,67.453,63.621,64.565,50.001,51.678,58.147,65.274,53.378,49.005,70.785,60.304,71.844,70.586,68.756,68.588,62.097,53.915,58.511,64.427,60.383,61.589,41.674,56.314,35.78,49.7,56.656
1970,243,10.740682624199598,34.53199007981544,45.74526273947982,52.27559777499317,59.514817863703705,66.75403795241424,73.28437298792758,84.49764564759197,37.409,45.563,66.935,50.372,66.601,64.92574088,72.166,40.915,66.165,65.847,66.483,70.144,69.14,54.778,71.16,70.41,63.141,65.87,63.449,46.942,68.65,70.549,71.046,65.566,42.152,71.283,39.635,45.568,69.071,66.187,53.824,58.911,66.935,62.582,71.04,39.095,43.841,41.566,46.523,72.543,53.298,64.979,42.223,41.344,71.823,62.254,59.085,62.152,45.642,50.725,59.564,65.844,44.123,68.341,69.809,68.999,72.576,69.942,43.915,73.271,49.16,65.148,58.093,58.203,52.146,54.998,39.848,43.156,70.423,42.944,70.372,73.44,71.713,62.492,70.241,71.904,65.344,60.183,47.125,37.868,67.452,70.872,49.34,72.136,70.969,62.542,65.619,64.975,65.662,52.501,36.655,40.649,61.789,46.027,52.522,71.732,69.464,73.779,47.737,52.553,50.855,58.201,70.977,71.842,72.157,71.571,67.917,72.358,60.171,62.542,52.557,52.323,65.715,60.498,46.273,60.095,70.345,66.067,50.584,39.338,56.052,71.373,71.391,69.974,69.36,66.301,44.771,39.756,64.595,44.142,32.388,71.354,56.966,65.986,50.404,63.223,62.364,61.362,58.851,65.045,72.448,55.364,69.929,66.206,52.572,41.343,48.796,52.669,51.777,40.881,73.808,62.422,71.467,53.519,35.883,40.971,64.791,59.656,70.921,63.088,74.14,65.374,50.31,52.649,59.792,55.771,65.532,45.916,65.368,54.174,63.155,70.149,67.335,71.585,68.156,63.059,68.123,68.5,44.696,64.939,67.785,62.854,63.667,64.97,70.335,63.691,59.919,72.788,55.358,52.703,39.227,67.738,66.341,36.098,68.088,69.084,70.151,69.425,56.203,40.957,52.62,61.28,35.807,71.996,64.097,52.234,62.911,48.128,74.46,73.105,58.814,68.153,54.007,46.784,59.385,39.529,46.568,67.874,64.0,64.7,51.145,52.286,58.472,65.707,53.852,49.251,70.777,61.215,71.948,70.777,69.056,68.616,62.392,54.451,58.892,64.935,59.563,62.161,42.067,56.911,36.82,50.114,56.913
1971,243,10.659946974489076,35.09665749198862,46.225642133355215,52.706889893844576,59.89169415465021,67.07649841545584,73.5577461759452,84.6867308173118,37.93,45.984,67.237,50.773,67.185,65.24267958,72.4,41.284,66.733,66.066,66.774,70.412,69.498,55.505,71.37,70.558,63.31,66.031,64.275,46.589,68.89,70.566,71.212,66.047,42.684,71.593,40.194,45.999,69.429,66.756,54.327,59.332,67.338,63.134,71.057,39.542,44.021,39.699,47.053,72.722,53.97,65.389,43.036,41.813,71.919,62.895,60.303,62.629,46.103,51.126,59.876,66.378,44.979,68.641,70.306,69.367,72.825,69.971,44.247,73.414,49.827,65.7,58.671,58.718,52.479,55.32,40.156,43.545,70.376,43.213,70.476,73.72,71.856,62.512,70.502,72.106,65.572,60.518,47.967,38.734,67.766,70.979,49.625,72.23,71.286,62.715,65.88,65.485,66.074,53.091,36.932,40.961,61.868,46.508,53.14,72.039,69.46,73.945,48.398,53.14,51.661,58.856,71.072,71.974,72.319,71.829,68.2,72.74,60.864,62.84,53.118,52.782,66.169,60.816,46.578,60.547,70.208,66.323,51.048,39.98,57.046,71.483,71.346,70.077,69.869,66.736,45.257,40.254,65.013,44.908,33.078,71.572,57.16,66.506,50.788,63.354,62.985,61.829,59.265,65.134,72.71,55.819,70.476,66.616,52.94,41.567,49.258,53.184,52.1,41.457,73.917,62.946,71.573,54.147,36.031,41.392,64.956,60.549,71.157,63.575,74.255,65.719,51.087,53.192,59.991,56.438,66.018,46.653,65.506,54.935,63.19,70.228,67.731,71.907,68.713,63.689,68.432,68.435,44.772,65.47,68.206,63.229,64.124,65.484,70.773,64.026,60.256,73.096,55.907,53.771,39.814,68.081,66.74,36.599,68.462,69.444,70.112,69.571,56.998,41.342,53.157,61.995,36.186,72.261,64.528,52.583,63.199,48.788,74.586,73.346,59.6,68.618,54.427,47.188,59.887,39.574,47.175,68.291,64.357,64.844,52.299,52.887,58.765,66.115,54.326,49.43,70.726,62.099,72.051,71.017,69.353,68.664,62.66,54.981,59.278,65.428,58.98,62.729,42.524,57.436,37.888,50.542,57.135
1972,243,10.596550662373287,35.616494218825906,46.679293110343615,53.12199591306658,60.26407105950617,67.40614620594577,73.84884900866872,84.91164790018644,38.461,46.414,67.582,51.201,67.772,65.58026746,72.642,41.652,67.304,66.28,67.078,70.605,69.851,56.155,71.632,70.737,63.457,66.209,65.042,46.507,69.149,70.565,71.397,66.504,43.229,71.934,40.735,46.441,69.811,67.32,54.853,59.739,67.738,63.671,71.071,40.003,44.246,36.676,47.593,72.916,54.745,65.851,43.866,42.264,72.02,63.555,61.344,63.105,46.557,51.514,60.155,66.943,45.824,68.915,70.787,69.76,73.067,70.031,44.545,73.56,50.442,66.251,59.229,59.232,52.894,55.586,40.448,43.934,70.287,43.465,70.574,74.011,72.005,62.555,70.793,72.323,65.713,60.836,48.793,39.61,68.082,71.108,49.912,72.329,71.589,62.859,66.139,65.984,66.473,53.652,37.255,41.276,61.938,47.019,53.778,72.327,69.464,74.186,49.061,53.72,52.559,59.484,71.174,72.112,72.485,72.088,68.491,73.131,61.545,63.107,53.674,53.218,66.602,61.102,46.876,60.997,70.036,66.565,51.565,40.65,57.995,71.626,71.267,70.205,70.384,67.128,45.735,40.762,65.407,45.7,33.782,71.78,57.36,67.019,51.16,63.534,63.588,62.327,59.675,65.186,72.996,56.192,70.968,67.022,53.305,41.836,49.686,53.714,52.419,42.024,74.054,63.455,71.697,54.744,36.203,41.829,65.122,61.379,71.437,64.063,74.384,66.081,51.92,53.699,60.196,57.095,66.515,47.383,65.653,55.671,63.202,70.279,68.131,72.217,69.245,64.299,68.75,68.342,44.848,65.99,68.624,63.578,64.578,65.989,71.208,64.365,60.599,73.485,56.472,54.872,40.562,68.389,67.147,37.092,68.859,69.833,70.106,69.755,57.774,41.727,53.713,62.649,36.575,72.542,64.934,52.901,63.47,49.479,74.705,73.606,60.378,69.055,54.852,47.609,60.404,39.085,47.777,68.703,64.696,65.003,53.452,53.492,59.028,66.499,54.799,49.558,70.632,62.949,72.159,71.303,69.647,68.732,62.903,55.51,59.67,65.896,58.826,63.293,43.066,57.916,38.981,50.961,57.329
1973,243,10.553222398646382,36.08576735823822,47.103331542425046,53.51969076080204,60.63256265748971,67.74543455417736,74.16179377255438,85.1793579567412,39.003,46.85,67.953,51.676,68.299,65.93072577,72.89,42.017,67.877,66.498,67.383,70.723,70.191,56.764,71.934,70.945,63.582,66.397,65.757,46.773,69.436,70.55,71.598,66.939,43.781,72.292,41.263,46.893,70.215,67.867,55.398,60.132,68.134,64.196,71.078,40.493,44.528,32.667,48.135,73.128,55.631,66.372,44.695,42.681,72.133,64.231,62.281,63.578,47.001,51.888,60.416,67.541,46.64,69.16,71.255,70.176,73.302,70.116,44.804,73.703,50.982,66.8,59.764,59.745,53.408,55.793,40.732,44.316,70.16,43.693,70.665,74.311,72.164,62.633,71.11,72.552,65.815,61.149,49.612,40.485,68.401,71.263,50.206,72.441,71.865,62.968,66.395,66.478,66.86,54.181,37.624,41.597,62.005,47.559,54.439,72.596,69.478,74.499,49.722,54.288,53.513,60.086,71.287,72.258,72.657,72.35,68.791,73.533,62.215,63.348,54.218,53.633,67.02,61.362,47.166,61.44,69.833,66.789,52.129,41.346,58.902,71.805,71.165,70.362,70.897,67.474,46.203,41.262,65.775,46.52,34.493,71.974,57.567,67.525,51.539,63.774,64.174,62.845,60.079,65.213,73.301,56.477,71.392,67.421,53.676,42.135,50.098,54.262,52.733,42.588,74.216,63.951,71.835,55.307,36.402,42.276,65.29,62.161,71.751,64.55,74.529,66.453,52.811,54.171,60.408,57.746,67.02,48.105,65.806,56.36,63.197,70.309,68.537,72.513,69.758,64.887,69.03,68.222,44.945,66.497,69.037,63.902,65.04,66.484,71.636,64.711,60.948,73.954,57.04,55.981,41.445,68.664,67.554,37.572,69.262,70.244,70.129,69.966,58.522,42.111,54.281,63.226,36.974,72.842,65.321,53.184,63.724,50.191,74.817,73.882,61.137,69.455,55.272,48.04,60.929,38.077,48.371,69.108,65.017,65.177,54.59,54.109,59.267,66.858,55.272,49.65,70.5,63.759,72.278,71.624,69.936,68.823,63.125,56.043,60.067,66.331,59.203,63.853,43.699,58.374,40.093,51.351,57.509
1974,243,10.530699914971827,36.503952296746725,47.49800300797731,53.90066855628018,60.99836029897119,68.0960520416622,74.49871758996508,85.49276830119567,39.558,47.29,68.343,52.218,68.735,66.28955265,73.147,42.376,68.45,66.727,67.686,70.775,70.519,57.345,72.269,71.178,63.687,66.593,66.421,47.396,69.756,70.529,71.813,67.354,44.337,72.654,41.784,47.355,70.635,68.39,55.957,60.513,68.523,64.709,71.082,41.025,44.865,28.04,48.675,73.359,56.609,66.95,45.504,43.059,72.261,64.917,63.134,64.047,47.441,52.249,60.674,68.17,47.418,69.376,71.707,70.61,73.53,70.219,45.026,73.841,51.442,67.347,60.277,60.258,54.021,55.948,41.021,44.691,70.008,43.894,70.752,74.612,72.334,62.752,71.447,72.79,65.912,61.469,50.425,41.352,68.718,71.446,50.507,72.567,72.112,63.044,66.649,66.968,67.235,54.676,38.041,41.925,62.072,48.119,55.124,72.853,69.503,74.869,50.374,54.843,54.463,60.644,71.414,72.414,72.836,72.613,69.099,73.945,62.869,63.57,54.749,54.027,67.426,61.603,47.449,61.876,69.614,66.995,52.731,42.061,59.77,72.02,71.051,70.549,71.4,67.773,46.656,41.744,66.117,47.368,35.205,72.156,57.78,68.024,51.935,64.081,64.744,63.378,60.473,65.221,73.623,56.676,71.748,67.812,54.066,42.451,50.503,54.82,53.04,43.151,74.401,64.435,71.987,55.833,36.633,42.729,65.458,62.896,72.09,65.038,74.687,66.83,53.76,54.613,60.626,58.391,67.527,48.815,65.964,56.994,63.185,70.325,68.946,72.789,70.254,65.455,69.255,68.082,45.084,66.992,69.442,64.206,65.515,66.972,72.056,65.069,61.301,74.493,57.597,57.078,42.442,68.907,67.955,38.032,69.664,70.673,70.176,70.194,59.233,42.494,54.856,63.724,37.378,73.162,65.694,53.43,63.964,50.919,74.926,74.17,61.872,69.814,55.675,48.472,61.459,36.66,48.958,69.503,65.322,65.368,55.704,54.741,59.488,67.192,55.745,49.715,70.338,64.525,72.41,71.972,70.219,68.941,63.332,56.582,60.468,66.729,60.112,64.409,44.426,58.818,41.219,51.7,57.688
1975,243,10.519894447491163,36.894362849909214,47.87713265308999,54.273228477164615,61.36363733477366,68.4540461923827,74.85014201645733,85.8329118196381,40.128,47.733,68.736,52.866,69.071,66.65087235,73.414,42.723,69.027,66.975,67.985,70.783,70.833,57.904,72.626,71.43,63.776,66.785,67.04,48.313,70.113,70.499,72.039,67.751,44.882,73.001,42.311,47.828,71.065,68.872,56.524,60.884,68.902,65.209,71.086,41.63,45.242,23.595,49.205,73.611,57.63,67.575,46.275,43.396,72.409,65.609,63.915,64.518,47.887,52.6,60.966,68.825,48.147,69.562,72.138,71.054,73.753,70.33,45.222,73.969,51.832,67.892,60.764,60.774,54.717,56.052,41.344,45.054,69.841,44.044,70.836,74.904,72.516,62.913,71.801,73.033,66.043,61.823,51.234,42.205,69.014,71.658,50.811,72.718,72.34,63.09,66.895,67.455,67.599,55.14,38.502,42.263,62.14,48.683,55.834,73.109,69.53,75.27,51.012,55.386,55.264,61.078,71.559,72.584,73.022,72.878,69.41,74.361,63.502,63.785,55.273,54.399,67.824,61.833,47.722,62.303,69.394,67.183,53.367,42.786,60.6,72.265,70.935,70.768,71.887,68.02,47.094,42.206,66.442,48.25,35.921,72.324,57.996,68.514,52.358,64.464,65.298,63.922,60.85,65.209,73.949,56.796,72.041,68.19,54.492,42.759,50.907,55.369,53.337,43.718,74.605,64.906,72.155,56.319,36.905,43.187,65.628,63.579,72.444,65.532,74.856,67.21,54.755,55.028,60.852,59.038,68.027,49.512,66.13,57.575,63.183,70.338,69.362,73.037,70.734,66.004,69.42,67.93,45.315,67.477,69.835,64.491,65.997,67.451,72.466,65.445,61.661,75.074,58.13,58.148,43.521,69.12,68.345,38.468,70.06,71.113,70.243,70.42,59.899,42.876,55.428,64.153,37.767,73.503,66.067,53.638,64.201,51.661,75.038,74.461,62.579,70.133,56.043,48.887,61.985,35.092,49.537,69.883,65.611,65.572,56.794,55.387,59.703,67.498,56.221,49.769,70.154,65.244,72.561,72.333,70.493,69.089,63.53,57.128,60.868,67.092,61.446,64.962,45.234,59.251,42.364,51.999,57.892
